outcome,effect_definition,hedges_g_change,experimental_change_mean,control_change_mean
stress,Hedges g de la diferencia de cambios; positivo favorece experimental,3.017053128324819,5.430604982206406,-0.17793594306049823
anxiety,Hedges g de la diferencia de cambios; positivo favorece experimental,2.3837180227394716,3.9893238434163703,-0.12811387900355872
depression,Hedges g de la diferencia de cambios; positivo favorece experimental,2.4708993655919294,3.711743772241993,-0.099644128113879
support,Hedges g de la diferencia de cambios; positivo favorece experimental,3.5595641380106158,0.7144128113879004,0.03345195729537368
