outcome,model,n,family_clusters,adjusted_group_difference_exp_minus_control,hc3_se,hc3_ci95_low,hc3_ci95_high,hc3_p,cluster_se,cluster_ci95_low,cluster_ci95_high,cluster_p,shapiro_w_residuals,shapiro_p_residuals,breusch_pagan_stat,breusch_pagan_p,recommended_inference,cluster_p_holm_4_outcomes
stress,post ~ group + pre,562,281,-5.607469754931058,0.15703848883035243,-5.9159273942779995,-5.299012115584117,2.4316470432144355e-146,0.15958146748199986,-5.921601485137052,-5.293338024725064,1.1954873404635506e-104,0.9683095178357454,1.1618983976069748e-09,78.10491877282237,1.0958027442870516e-17,errores_agrupados_por_familia,3.5864620213906515e-104
anxiety,post ~ group + pre,562,281,-4.1175396354489235,0.1455161520518539,-4.403364907221979,-3.831714363675868,5.616775668805182e-110,0.1565864428049739,-4.425775741942158,-3.809303528955689,1.2995594239166142e-77,0.9624008389329278,8.485691277195282e-11,52.812881382461974,3.4027380783757227e-12,errores_agrupados_por_familia,1.2995594239166142e-77
depression,post ~ group + pre,562,281,-3.8117999517390047,0.12976249012619212,-4.066681615961755,-3.5569182875162544,2.043891592285619e-115,0.1334143432079077,-4.074422417414247,-3.549177486063762,5.661526312168904e-85,0.9539785939983128,3.1010161754876265e-12,22.612420349558295,1.2296324335240313e-05,errores_agrupados_por_familia,1.1323052624337808e-84
support,post ~ group + pre,562,281,0.6809298594558291,0.016168327494992515,0.6491717588243251,0.712687960087333,1.491137954178277e-175,0.01636859813328148,0.6487087241712177,0.7131509947404404,7.056944033189735e-122,0.9806968147691747,8.965186166356199e-07,104.6858302861434,1.8525109623924468e-23,errores_agrupados_por_familia,2.822777613275894e-121
