outcome,group_type,n,pre_mean,pre_sd,post_mean,post_sd,favorable_change_mean,favorable_change_percent
stress,Control,281,17.98220640569395,5.808525455873485,18.160142348754448,6.0017240363278885,-0.17793594306049823,-0.9895111814763506
stress,Experimental,281,17.88612099644128,5.597306709444577,12.455516014234876,6.114880547302489,5.430604982206406,30.362116991643457
anxiety,Control,281,12.825622775800712,5.035749169691719,12.95373665480427,5.185280876988132,-0.12811387900355872,-0.9988901220865707
anxiety,Experimental,281,12.822064056939501,5.212314814403817,8.832740213523131,5.34627333156858,3.9893238434163703,31.112961421038026
depression,Control,281,12.533807829181494,5.377176909873929,12.633451957295375,5.417315344470328,-0.099644128113879,-0.7950028392958627
depression,Experimental,281,12.519572953736654,5.311759981653392,8.807829181494663,5.405560224634021,3.711743772241993,29.647527003979523
